arm_length_m,test_mass_kg,snr_year
1000.0,10.0,2.63684298416038e-10
1000.0,11.0,2.637060760411299e-10
1000.0,12.0,2.637226433241727e-10
1000.0,13.0,2.637355387268752e-10
1000.0,14.0,2.6374577218024887e-10
1000.0,15.0,2.6375402887645345e-10
1000.0,16.0,2.637607869543351e-10
1000.0,17.0,2.6376638827762386e-10
1000.0,18.0,2.637710825158603e-10
1000.0,19.0,2.637750554453074e-10
1000.0,20.0,2.63778447610114e-10
1000.0,21.0,2.637813669213136e-10
1000.0,22.0,2.6378389734404764e-10
1000.0,23.0,2.637861050018553e-10
1000.0,24.0,2.6378804253980175e-10
1000.0,25.0,2.637897522917248e-10
1000.0,26.0,2.637912686120324e-10
1000.0,27.0,2.637926196147258e-10
1000.0,28.0,2.637938284858105e-10
1000.0,29.0,2.6379491448463603e-10
1000.0,30.0,2.6379589371566124e-10
1000.0,31.0,2.637967797288826e-10
1000.0,32.0,2.6379758399105746e-10
1000.0,33.0,2.637983162585474e-10
1000.0,34.0,2.637989848745728e-10
1000.0,35.0,2.6379959700789766e-10
1000.0,36.0,2.6380015884577285e-10
1000.0,37.0,2.6380067575088676e-10
1000.0,38.0,2.638011523897981e-10
1000.0,39.0,2.6380159283862186e-10
1000.0,40.0,2.6380200067045923e-10
1000.0,41.0,2.638023790280886e-10
1000.0,42.0,2.6380273068468936e-10
1000.0,43.0,2.6380305809479966e-10
1000.0,44.0,2.638033634372619e-10
1000.0,45.0,2.63803648651564e-10
1000.0,46.0,2.638039154687121e-10
1000.0,47.0,2.6380416543755626e-10
1000.0,48.0,2.6380439994731704e-10
1000.0,49.0,2.638046202469288e-10
1000.0,50.0,2.638048274617014e-10
1000.0,51.0,2.6380502260771964e-10
1000.0,52.0,2.638052066043218e-10
1000.0,53.0,2.638053802849469e-10
1000.0,54.0,2.638055444065891e-10
1000.0,55.0,2.638056996580599e-10
1000.0,56.0,2.638058466672266e-10
1000.0,57.0,2.6380598600737074e-10
1000.0,58.0,2.638061182027849e-10
1000.0,59.0,2.638062437337118e-10
1000.0,60.0,2.6380636304071206e-10
1000.0,61.0,2.6380647652853455e-10
1000.0,62.0,2.6380658456955385e-10
1000.0,63.0,2.6380668750682876e-10
1000.0,64.0,2.638067856568285e-10
1000.0,65.0,2.6380687931186793e-10
1000.0,66.0,2.6380696874228686e-10
1000.0,67.0,2.63807054198403e-10
1000.0,68.0,2.638071359122648e-10
1000.0,69.0,2.6380721409922957e-10
1000.0,70.0,2.6380728895938256e-10
1000.0,71.0,2.63807360678819e-10
1000.0,72.0,2.6380742943080184e-10
1000.0,73.0,2.638074953768085e-10
1000.0,74.0,2.638075586674805e-10
1000.0,75.0,2.6380761944348435e-10
1000.0,76.0,2.638076778362935e-10
1000.0,77.0,2.638077339689003e-10
1000.0,78.0,2.6380778795646407e-10
1000.0,79.0,2.6380783990690205e-10
1000.0,80.0,2.638078899214294e-10
1000.0,81.0,2.638079380950522e-10
1000.0,82.0,2.638079845170193e-10
1000.0,83.0,2.638080292712355e-10
1000.0,84.0,2.6380807243664193e-10
1000.0,85.0,2.6380811408756294e-10
1000.0,86.0,2.638081542940276e-10
1000.0,87.0,2.638081931220634e-10
1000.0,88.0,2.6380823063396783e-10
1000.0,89.0,2.6380826688855846e-10
1000.0,90.0,2.6380830194140336e-10
1000.0,91.0,2.638083358450345e-10
1000.0,92.0,2.638083686491444e-10
1000.0,93.0,2.6380840040076844e-10
1000.0,94.0,2.6380843114445357e-10
1000.0,95.0,2.6380846092241465e-10
1000.0,96.0,2.6380848977467924e-10
1000.0,97.0,2.6380851773922245e-10
1000.0,98.0,2.6380854485209196e-10
1000.0,99.0,2.638085711475239e-10
1000.0,100.0,2.638085966580514e-10
1010.0,10.0,2.638891594371981e-10
1010.0,11.0,2.639101636675558e-10
1010.0,12.0,2.6392614246577754e-10
1010.0,13.0,2.639385797365675e-10
1010.0,14.0,2.6394844958137855e-10
1010.0,15.0,2.639564128755239e-10
1010.0,16.0,2.639629307846235e-10
1010.0,17.0,2.6396833303413594e-10
1010.0,18.0,2.639728604272268e-10
1010.0,19.0,2.6397669214182206e-10
1010.0,20.0,2.6397996372965686e-10
1010.0,21.0,2.639827792681446e-10
1010.0,22.0,2.6398521973923523e-10
1010.0,23.0,2.63987348916988e-10
1010.0,24.0,2.6398921757577565e-10
1010.0,25.0,2.6399086654505506e-10
1010.0,26.0,2.6399232895834833e-10
1010.0,27.0,2.6399363193049704e-10
1010.0,28.0,2.6399479782345223e-10
1010.0,29.0,2.639958452120419e-10
1010.0,30.0,2.6399678962831693e-10
1010.0,31.0,2.63997644140646e-10
1010.0,32.0,2.6399841980819585e-10
1010.0,33.0,2.639991260405258e-10
1010.0,34.0,2.639997708842795e-10
1010.0,35.0,2.640003612533879e-10
1010.0,36.0,2.6400090311515494e-10
1010.0,37.0,2.6400140164163097e-10
1010.0,38.0,2.64001861333481e-10
1010.0,39.0,2.640022861219141e-10
1010.0,40.0,2.640026794530062e-10
1010.0,41.0,2.6400304435780705e-10
1010.0,42.0,2.640033835109061e-10
1010.0,43.0,2.6400369927957874e-10
1010.0,44.0,2.6400399376520503e-10
1010.0,45.0,2.640042688383198e-10
1010.0,46.0,2.640045261683874e-10
1010.0,47.0,2.6400476724919176e-10
1010.0,48.0,2.6400499342056256e-10
1010.0,49.0,2.6400520588703007e-10
1010.0,50.0,2.640054057338957e-10
1010.0,51.0,2.6400559394111816e-10
1010.0,52.0,2.6400577139535e-10
1010.0,53.0,2.640059389003976e-10
1010.0,54.0,2.64006097186341e-10
1010.0,55.0,2.640062469175011e-10
1010.0,56.0,2.640063886994218e-10
1010.0,57.0,2.640065230850015e-10
1010.0,58.0,2.6400665057989163e-10
1010.0,59.0,2.640067716472599e-10
1010.0,60.0,2.6400688671200256e-10
1010.0,61.0,2.640069961644776e-10
1010.0,62.0,2.640071003638197e-10
1010.0,63.0,2.6400719964088976e-10
1010.0,64.0,2.6400729430090474e-10
1010.0,65.0,2.640073846257862e-10
1010.0,66.0,2.6400747087626184e-10
1010.0,67.0,2.640075532937487e-10
1010.0,68.0,2.6400763210204506e-10
1010.0,69.0,2.6400770750885034e-10
