arm_length_m,source_distance_m,detuned_asd_per_sqrt_hz,single_source_snr_year,phi_sr_rad,signal_amplitude,theta_src,phi_src,theta_rot,phi_rot
500.0,750.0,1.0586999321223987e-26,4.425037631992407e-07,1.070148198385491,1.911548913876027e-36,0.20227104,5.96344729,1.72327938,0.01416633
1000.0,1500.0,9.631660407731072e-27,2.431513661682044e-07,1.3020342409822767,9.572234327878476e-37,0.20227104,5.96344729,1.72327938,0.01416633
1500.0,2250.0,9.440959981983681e-27,1.6534158032665641e-07,1.3889494173623225,6.390707059577843e-37,0.20227104,5.96344729,1.72327938,0.01416633
2000.0,3000.0,9.372887409553154e-27,1.2487955223820825e-07,1.433740499352526,4.799611040853986e-37,0.20227104,5.96344729,1.72327938,0.01416633
2500.0,3750.0,9.34111063755105e-27,1.0022014691221352e-07,1.4609534051841069,3.844687041959627e-37,0.20227104,5.96344729,1.72327938,0.01416633
3000.0,4500.0,9.323769562407434e-27,8.365139827089462e-08,1.4792134642069619,3.207848677044505e-37,0.20227104,5.96344729,1.72327938,0.01416633
3500.0,5250.0,9.31328369168141e-27,7.176309215545395e-08,1.4923066763459967,2.752773229961039e-37,0.20227104,5.96344729,1.72327938,0.01416633
4000.0,6000.0,9.306464941636119e-27,6.282129833194454e-08,1.5021511342587033,2.411299360715661e-37,0.20227104,5.96344729,1.72327938,0.01416633
4500.0,6750.0,9.301783643758404e-27,5.585294982429197e-08,1.509821158397333,2.145559674285834e-37,0.20227104,5.96344729,1.72327938,0.01416633
5000.0,7500.0,9.298431722937568e-27,5.027035588502318e-08,1.5159648578420695,1.932833748146766e-37,0.20227104,5.96344729,1.72327938,0.01416633
5500.0,8250.0,9.295949724530746e-27,4.569783345612402e-08,1.5209962538255763,1.7586631447834316e-37,0.20227104,5.96344729,1.72327938,0.01416633
6000.0,9000.0,9.294060778035117e-27,4.188410967708509e-08,1.5251921432138738,1.6134089179464787e-37,0.20227104,5.96344729,1.72327938,0.01416633
6500.0,9750.0,9.292589984864135e-27,3.865480412598914e-08,1.5287445683073695,1.490397962174518e-37,0.20227104,5.96344729,1.72327938,0.01416633
7000.0,10500.0,9.291422463629858e-27,3.588512822528376e-08,1.5317909337744335,1.3848637839496014e-37,0.20227104,5.96344729,1.72327938,0.01416633
7500.0,11250.0,9.29048023337719e-27,3.348343756942782e-08,1.534432139047006,1.2933109643903936e-37,0.20227104,5.96344729,1.72327938,0.01416633
8000.0,12000.0,9.289708854258994e-27,3.13809193715069e-08,1.5367439418908053,1.2131179484352896e-37,0.20227104,5.96344729,1.72327938,0.01416633
8500.0,12750.0,9.28906938792422e-27,2.9524902797602192e-08,1.5387843274104234,1.1422800260784362e-37,0.20227104,5.96344729,1.72327938,0.01416633
9000.0,13500.0,9.28853338770708e-27,2.787439012116409e-08,1.5405984295427386,1.079237986526973e-37,0.20227104,5.96344729,1.72327938,0.01416633
9500.0,14250.0,9.288079680693407e-27,2.6396994005398124e-08,1.5422219034166333,1.022760881571669e-37,0.20227104,5.96344729,1.72327938,0.01416633
10000.0,15000.0,9.287692244985467e-27,2.5066790645006773e-08,1.5436832889663274,9.718639599462697e-38,0.20227104,5.96344729,1.72327938,0.01416633
