arm_length_m,test_mass_kg,snr_year
1000.0,40.0,6.527971245952899e-10
1010.0,40.0,6.53157280472607e-10
1020.0,40.0,6.535032919308537e-10
1030.0,40.0,6.538355991159182e-10
1040.0,40.0,6.541546688647588e-10
1050.0,40.0,6.544608233339638e-10
1060.0,40.0,6.547544824987803e-10
1070.0,40.0,6.550360105234715e-10
1080.0,40.0,6.553057631772445e-10
1090.0,40.0,6.555640771749015e-10
1100.0,40.0,6.558112756885399e-10
1110.0,40.0,6.560476674448427e-10
1120.0,40.0,6.562735479263385e-10
1130.0,40.0,6.564892006531638e-10
1140.0,40.0,6.566948971010776e-10
1150.0,40.0,6.568908869005266e-10
1160.0,40.0,6.570774256635722e-10
1170.0,40.0,6.572547567872009e-10
1180.0,40.0,6.574231098161085e-10
1190.0,40.0,6.575827062964154e-10
1200.0,40.0,6.577337559787947e-10
1210.0,40.0,6.578764622210957e-10
1220.0,40.0,6.580110196324153e-10
1230.0,40.0,6.581376158509637e-10
1240.0,40.0,6.582564308341257e-10
1250.0,40.0,6.583676375880301e-10
1260.0,40.0,6.584714023414788e-10
1270.0,40.0,6.585678838970193e-10
1280.0,40.0,6.586572192375774e-10
1290.0,40.0,6.587395865684745e-10
1300.0,40.0,6.588151083916085e-10
1310.0,40.0,6.588839206201094e-10
1320.0,40.0,6.58946153116494e-10
1330.0,40.0,6.590019313422382e-10
1340.0,40.0,6.590513757365542e-10
1350.0,40.0,6.590946007510058e-10
1360.0,40.0,6.59131718587545e-10
1370.0,40.0,6.591629533691028e-10
1380.0,40.0,6.591881709272406e-10
1390.0,40.0,6.592075904899812e-10
1400.0,40.0,6.592213091751226e-10
1410.0,40.0,6.592294183997358e-10
1420.0,40.0,6.59232007113913e-10
1430.0,40.0,6.59229162313578e-10
1440.0,40.0,6.592209675998739e-10
1450.0,40.0,6.592075079110263e-10
1460.0,40.0,6.591887916876616e-10
1470.0,40.0,6.59164664486335e-10
1480.0,40.0,6.59135002469525e-10
1490.0,40.0,6.591013108582234e-10
1500.0,40.0,6.590624798613854e-10
1510.0,40.0,6.590187408024412e-10
1520.0,40.0,6.58970214208643e-10
1530.0,40.0,6.58916938108772e-10
1540.0,40.0,6.588588839395553e-10
1550.0,40.0,6.587960843387984e-10
1560.0,40.0,6.587286832045822e-10
1570.0,40.0,6.586567966901439e-10
1580.0,40.0,6.585804566123922e-10
1590.0,40.0,6.584837148307508e-10
1600.0,40.0,6.584143317661196e-10
1610.0,40.0,6.583075538327162e-10
1620.0,40.0,6.582300863809702e-10
1630.0,40.0,6.581176230020493e-10
1640.0,40.0,6.580108386410403e-10
1650.0,40.0,6.579200392427583e-10
1660.0,40.0,6.577885748528233e-10
1670.0,40.0,6.576924535494731e-10
1680.0,40.0,6.575582509783235e-10
1690.0,40.0,6.574507020141665e-10
1700.0,40.0,6.573046372331497e-10
